Region,Year,NumDeathsPerYear,NumAttack
Australasia & Oceania,1970,0,1
Central America & Caribbean,1970,3,7
East Asia,1970,,2
Eastern Europe,1970,0,12
Middle East & North Africa,1970,1,28
North America,1970,27,472
South America,1970,11,65
South Asia,1970,4,1
Southeast Asia,1970,41,10
Sub-Saharan Africa,1970,1,3
Western Europe,1970,75,50
Australasia & Oceania,1971,0,2
Central America & Caribbean,1971,0,12
East Asia,1971,25,3
Eastern Europe,1971,,17
Middle East & North Africa,1971,6,83
North America,1971,20,719
South America,1971,6,89
Southeast Asia,1971,2,16
Sub-Saharan Africa,1971,1,5
Western Europe,1971,106,175
Australasia & Oceania,1972,1,10
Central America & Caribbean,1972,0,15
Eastern Europe,1972,26,18
Middle East & North Africa,1972,7,136
North America,1972,9,792
South America,1972,6,122
South Asia,1972,0,2
Southeast Asia,1972,84,32
Sub-Saharan Africa,1972,0,9
Western Europe,1972,385,551
Australasia & Oceania,1973,,11
Central America & Caribbean,1973,0,21
East Asia,1973,0,5
Eastern Europe,1973,1,19
Middle East & North Africa,1973,5,155
North America,1973,29,856
South America,1973,16,205
South Asia,1973,0,3
Southeast Asia,1973,0,34
Sub-Saharan Africa,1973,5,13
Western Europe,1973,224,841
Australasia & Oceania,1974,0,12
Central America & Caribbean,1974,0,32
East Asia,1974,1,9
Eastern Europe,1974,1,21
Middle East & North Africa,1974,35,197
North America,1974,14,967
South America,1974,21,286
South Asia,1974,0,5
Southeast Asia,1974,5,37
Sub-Saharan Africa,1974,2,20
Western Europe,1974,406,1158
Central America & Caribbean,1975,17,41
East Asia,1975,0,21
Middle East & North Africa,1975,42,241
North America,1975,46,1126
South America,1975,130,341
South Asia,1975,6,9
Southeast Asia,1975,1,44
Sub-Saharan Africa,1975,28,32
Western Europe,1975,254,1596
Central America & Caribbean,1976,84,86
East Asia,1976,2,23
Middle East & North Africa,1976,29,296
North America,1976,29,1251
South America,1976,95,432
South Asia,1976,0,13
Southeast Asia,1976,34,56
Sub-Saharan Africa,1976,5,43
Western Europe,1976,289,2174
Central America & Caribbean,1977,34,110
East Asia,1977,,27
Eastern Europe,1977,1,23
Middle East & North Africa,1977,37,507
North America,1977,15,1400
South America,1977,45,551
South Asia,1977,0,15
Southeast Asia,1977,1,64
Sub-Saharan Africa,1977,17,72
Western Europe,1977,177,2945
Australasia & Oceania,1978,2,14
Central America & Caribbean,1978,140,309
East Asia,1978,1,62
Eastern Europe,1978,4,25
Middle East & North Africa,1978,660,635
North America,1978,15,1517
South America,1978,93,773
South Asia,1978,1,17
Southeast Asia,1978,132,108
Sub-Saharan Africa,1978,108,118
Western Europe,1978,204,3674
Australasia & Oceania,1979,0,16
Central America & Caribbean,1979,410,918
East Asia,1979,5,78
Eastern Europe,1979,0,26
Middle East & North Africa,1979,285,1090
North America,1979,22,1596
South America,1979,145,1009
South Asia,1979,89,51
Southeast Asia,1979,224,194
Sub-Saharan Africa,1979,283,242
Western Europe,1979,255,4694
Australasia & Oceania,1980,0,23
Central America & Caribbean,1980,2874,1988
East Asia,1980,0,79
Eastern Europe,1980,0,27
Middle East & North Africa,1980,325,1527
North America,1980,18,1671
South America,1980,195,1328
South Asia,1980,27,63
Southeast Asia,1980,118,281
Sub-Saharan Africa,1980,59,300
Western Europe,1980,272,5289
Australasia & Oceania,1981,1,26
Central America & Caribbean,1981,2939,3136
East Asia,1981,0,83
Eastern Europe,1981,0,31
Middle East & North Africa,1981,661,1839
North America,1981,6,1748
South America,1981,389,1711
South Asia,1981,34,86
Southeast Asia,1981,160,331
Sub-Saharan Africa,1981,54,398
Western Europe,1981,163,5773
Australasia & Oceania,1982,0,28
Central America & Caribbean,1982,3173,4132
East Asia,1982,1,86
Eastern Europe,1982,2,34
Middle East & North Africa,1982,457,2129
North America,1982,12,1834
South America,1982,555,2350
South Asia,1982,65,106
Southeast Asia,1982,138,374
Sub-Saharan Africa,1982,62,458
Western Europe,1982,152,6175
Central America & Caribbean,1983,5144,4990
East Asia,1983,3,99
Eastern Europe,1983,,36
Middle East & North Africa,1983,744,2463
North America,1983,7,1881
South America,1983,2103,3300
South Asia,1983,64,169
Southeast Asia,1983,120,396
Sub-Saharan Africa,1983,421,564
Western Europe,1983,149,6650
Australasia & Oceania,1984,12,39
Central America & Caribbean,1984,4569,5671
East Asia,1984,0,114
Eastern Europe,1984,3,40
Middle East & North Africa,1984,134,2731
North America,1984,8,1948
South America,1984,2544,4792
South Asia,1984,401,413
Southeast Asia,1984,198,442
Sub-Saharan Africa,1984,634,690
Western Europe,1984,152,7191
Australasia & Oceania,1985,0,46
Central America & Caribbean,1985,2603,6451
East Asia,1985,2,124
Eastern Europe,1985,2,45
Middle East & North Africa,1985,711,2864
North America,1985,331,1992
South America,1985,1591,5832
South Asia,1985,617,574
Southeast Asia,1985,378,570
Sub-Saharan Africa,1985,186,831
Western Europe,1985,166,7657
Australasia & Oceania,1986,1,50
Central America & Caribbean,1986,702,6844
East Asia,1986,8,136
Eastern Europe,1986,1,48
Middle East & North Africa,1986,357,3060
North America,1986,0,2045
South America,1986,1222,7016
South Asia,1986,931,847
Southeast Asia,1986,251,672
Sub-Saharan Africa,1986,769,1016
Western Europe,1986,152,8112
Australasia & Oceania,1987,0,53
Central America & Caribbean,1987,1016,7410
East Asia,1987,1,146
Eastern Europe,1987,0,49
Middle East & North Africa,1987,499,3262
North America,1987,1,2080
South America,1987,1299,8281
South Asia,1987,1877,1195
Southeast Asia,1987,389,835
Sub-Saharan Africa,1987,600,1190
Western Europe,1987,188,8528
Australasia & Oceania,1988,22,65
Central America & Caribbean,1988,653,7905
East Asia,1988,0,170
Eastern Europe,1988,0,53
Middle East & North Africa,1988,355,3508
North America,1988,3,2110
South America,1988,1897,9322
South Asia,1988,2083,1996
Southeast Asia,1988,624,1077
Sub-Saharan Africa,1988,686,1527
Western Europe,1988,424,9017
