Region,Year,NumDeathsPerYear,NumDeathsComul,NumAttack
Australasia & Oceania,1970,1,1,1
Central America & Caribbean,1970,3,3,7
East Asia,1970,1,1,2
Eastern Europe,1970,1,1,12
Middle East & North Africa,1970,1,1,28
North America,1970,27,27,472
South America,1970,11,11,65
South Asia,1970,4,4,1
Southeast Asia,1970,41,41,10
Sub-Saharan Africa,1970,1,1,3
Western Europe,1970,75,75,50
Australasia & Oceania,1971,1,1,2
Central America & Caribbean,1971,1,3,12
East Asia,1971,25,25,3
Eastern Europe,1971,1,1,17
Middle East & North Africa,1971,6,7,83
North America,1971,20,47,719
South America,1971,6,17,89
Southeast Asia,1971,2,43,16
Sub-Saharan Africa,1971,1,2,5
Western Europe,1971,106,181,175
Australasia & Oceania,1972,1,1,10
Central America & Caribbean,1972,1,3,15
Eastern Europe,1972,26,26,18
Middle East & North Africa,1972,7,14,136
North America,1972,9,56,792
South America,1972,6,23,122
South Asia,1972,1,4,2
Southeast Asia,1972,84,127,32
Sub-Saharan Africa,1972,1,2,9
Western Europe,1972,385,566,551
Australasia & Oceania,1973,1,1,11
Central America & Caribbean,1973,1,3,21
East Asia,1973,1,25,5
Eastern Europe,1973,1,27,19
Middle East & North Africa,1973,5,19,155
North America,1973,29,85,856
South America,1973,16,39,205
South Asia,1973,1,4,3
Southeast Asia,1973,1,127,34
Sub-Saharan Africa,1973,5,7,13
Western Europe,1973,224,790,841
Australasia & Oceania,1974,1,1,12
Central America & Caribbean,1974,1,3,32
East Asia,1974,1,26,9
Eastern Europe,1974,1,28,21
Middle East & North Africa,1974,35,54,197
North America,1974,14,99,967
South America,1974,21,60,286
South Asia,1974,1,4,5
Southeast Asia,1974,5,132,37
Sub-Saharan Africa,1974,2,9,20
Western Europe,1974,406,1196,1158
Central America & Caribbean,1975,17,20,41
East Asia,1975,1,26,21
Middle East & North Africa,1975,42,96,241
North America,1975,46,145,1126
South America,1975,130,190,341
South Asia,1975,6,10,9
Southeast Asia,1975,1,133,44
Sub-Saharan Africa,1975,28,37,32
Western Europe,1975,254,1450,1596
Central America & Caribbean,1976,84,104,86
East Asia,1976,2,28,23
Middle East & North Africa,1976,29,125,296
North America,1976,29,174,1251
South America,1976,95,285,432
South Asia,1976,1,10,13
Southeast Asia,1976,34,167,56
Sub-Saharan Africa,1976,5,42,43
Western Europe,1976,289,1739,2174
Central America & Caribbean,1977,34,138,110
East Asia,1977,1,28,27
Eastern Europe,1977,1,29,23
Middle East & North Africa,1977,37,162,507
North America,1977,15,189,1400
South America,1977,45,330,551
South Asia,1977,1,10,15
Southeast Asia,1977,1,168,64
Sub-Saharan Africa,1977,17,59,72
Western Europe,1977,177,1916,2945
Australasia & Oceania,1978,2,3,14
Central America & Caribbean,1978,140,278,309
East Asia,1978,1,29,62
Eastern Europe,1978,4,33,25
Middle East & North Africa,1978,660,822,635
North America,1978,15,204,1517
South America,1978,93,423,773
South Asia,1978,1,11,17
Southeast Asia,1978,132,300,108
Sub-Saharan Africa,1978,108,167,118
Western Europe,1978,204,2120,3674
Australasia & Oceania,1979,1,3,16
Central America & Caribbean,1979,410,688,918
East Asia,1979,5,34,78
Eastern Europe,1979,1,33,26
Middle East & North Africa,1979,285,1107,1090
North America,1979,22,226,1596
South America,1979,145,568,1009
South Asia,1979,89,100,51
Southeast Asia,1979,224,524,194
Sub-Saharan Africa,1979,283,450,242
Western Europe,1979,255,2375,4694
Australasia & Oceania,1980,1,3,23
Central America & Caribbean,1980,2874,3562,1988
East Asia,1980,1,34,79
Eastern Europe,1980,1,33,27
Middle East & North Africa,1980,325,1432,1527
North America,1980,18,244,1671
South America,1980,195,763,1328
South Asia,1980,27,127,63
Southeast Asia,1980,118,642,281
Sub-Saharan Africa,1980,59,509,300
Western Europe,1980,272,2647,5289
Australasia & Oceania,1981,1,4,26
Central America & Caribbean,1981,2939,6501,3136
East Asia,1981,1,34,83
Eastern Europe,1981,1,33,31
Middle East & North Africa,1981,661,2093,1839
North America,1981,6,250,1748
South America,1981,389,1152,1711
South Asia,1981,34,161,86
Southeast Asia,1981,160,802,331
Sub-Saharan Africa,1981,54,563,398
Western Europe,1981,163,2810,5773
Australasia & Oceania,1982,1,4,28
Central America & Caribbean,1982,3173,9674,4132
East Asia,1982,1,35,86
Eastern Europe,1982,2,35,34
Middle East & North Africa,1982,457,2550,2129
North America,1982,12,262,1834
South America,1982,555,1707,2350
South Asia,1982,65,226,106
Southeast Asia,1982,138,940,374
Sub-Saharan Africa,1982,62,625,458
Western Europe,1982,152,2962,6175
Central America & Caribbean,1983,5144,14818,4990
East Asia,1983,3,38,99
Eastern Europe,1983,1,35,36
Middle East & North Africa,1983,744,3294,2463
North America,1983,7,269,1881
South America,1983,2103,3810,3300
South Asia,1983,64,290,169
Southeast Asia,1983,120,1060,396
Sub-Saharan Africa,1983,421,1046,564
Western Europe,1983,149,3111,6650
Australasia & Oceania,1984,12,16,39
Central America & Caribbean,1984,4569,19387,5671
East Asia,1984,1,38,114
Eastern Europe,1984,3,38,40
Middle East & North Africa,1984,134,3428,2731
North America,1984,8,277,1948
South America,1984,2544,6354,4792
South Asia,1984,401,691,413
Southeast Asia,1984,198,1258,442
Sub-Saharan Africa,1984,634,1680,690
Western Europe,1984,152,3263,7191
Australasia & Oceania,1985,1,16,46
Central America & Caribbean,1985,2603,21990,6451
East Asia,1985,2,40,124
Eastern Europe,1985,2,40,45
Middle East & North Africa,1985,711,4139,2864
North America,1985,331,608,1992
South America,1985,1591,7945,5832
South Asia,1985,617,1308,574
Southeast Asia,1985,378,1636,570
Sub-Saharan Africa,1985,186,1866,831
Western Europe,1985,166,3429,7657
Australasia & Oceania,1986,1,17,50
Central America & Caribbean,1986,702,22692,6844
East Asia,1986,8,48,136
Eastern Europe,1986,1,41,48
Middle East & North Africa,1986,357,4496,3060
North America,1986,1,608,2045
South America,1986,1222,9167,7016
South Asia,1986,931,2239,847
Southeast Asia,1986,251,1887,672
Sub-Saharan Africa,1986,769,2635,1016
Western Europe,1986,152,3581,8112
Australasia & Oceania,1987,1,17,53
Central America & Caribbean,1987,1016,23708,7410
East Asia,1987,1,49,146
Eastern Europe,1987,1,41,49
Middle East & North Africa,1987,499,4995,3262
North America,1987,1,609,2080
South America,1987,1299,10466,8281
South Asia,1987,1877,4116,1195
Southeast Asia,1987,389,2276,835
Sub-Saharan Africa,1987,600,3235,1190
Western Europe,1987,188,3769,8528
Australasia & Oceania,1988,22,39,65
Central America & Caribbean,1988,653,24361,7905
East Asia,1988,1,49,170
Eastern Europe,1988,1,41,53
Middle East & North Africa,1988,355,5350,3508
North America,1988,3,612,2110
South America,1988,1897,12363,9322
South Asia,1988,2083,6199,1996
Southeast Asia,1988,624,2900,1077
Sub-Saharan Africa,1988,686,3921,1527
Western Europe,1988,424,4193,9017
Australasia & Oceania,1989,15,54,94
Central America & Caribbean,1989,430,24791,8408
East Asia,1989,22,71,188
Eastern Europe,1989,6,47,69
Middle East & North Africa,1989,442,5792,3973
North America,1989,18,630,2154
South America,1989,2211,14574,10707
South Asia,1989,2717,8916,2922
Southeast Asia,1989,599,3499,1280
Sub-Saharan Africa,1989,1109,5030,1818
Western Europe,1989,115,4308,9461
Australasia & Oceania,1990,12,66,112
Central America & Caribbean,1990,404,25195,8724
East Asia,1990,4,75,287
Eastern Europe,1990,59,106,127
Middle East & North Africa,1990,750,6542,4467
North America,1990,7,637,2191
South America,1990,1707,16281,11783
South Asia,1990,2207,11123,3523
Southeast Asia,1990,540,4039,1628
Sub-Saharan Africa,1990,607,5637,2268
Western Europe,1990,120,4428,9851
Australasia & Oceania,1991,3,69,122
Central America & Caribbean,1991,696,25891,9453
East Asia,1991,8,83,316
Eastern Europe,1991,272,378,211
Middle East & North Africa,1991,528,7070,5079
North America,1991,13,650,2231
South America,1991,2058,18339,13105
South Asia,1991,2222,13345,4200
Southeast Asia,1991,567,4606,1834
Sub-Saharan Africa,1991,1088,6725,2539
Western Europe,1991,167,4595,10547
Australasia & Oceania,1992,9,78,139
Central America & Caribbean,1992,112,26003,9665
East Asia,1992,27,110,390
Eastern Europe,1992,105,483,302
Middle East & North Africa,1992,1766,8836,6271
North America,1992,8,658,2272
South America,1992,1321,19660,14309
South Asia,1992,2102,15447,4745
Southeast Asia,1992,646,5252,2113
Sub-Saharan Africa,1992,2112,8837,3109
Western Europe,1992,173,4768,11316
Australasia & Oceania,1994,20,98,153
Central America & Caribbean,1994,159,26162,9845
East Asia,1994,34,144,424
Eastern Europe,1994,43,526,397
Middle East & North Africa,1994,2018,10854,7322
North America,1994,89,747,2373
South America,1994,365,20025,14682
South Asia,1994,746,16193,5121
Southeast Asia,1994,367,5619,2264
Sub-Saharan Africa,1994,1874,10711,3541
Western Europe,1994,100,4868,11900
Australasia & Oceania,1995,6,104,171
Central America & Caribbean,1995,80,26242,10013
East Asia,1995,21,165,462
Eastern Europe,1995,156,682,465
Middle East & North Africa,1995,978,11832,7912
North America,1995,235,982,2467
South America,1995,565,20590,14937
South Asia,1995,2035,18228,6172
Southeast Asia,1995,310,5929,2432
Sub-Saharan Africa,1995,1093,11804,3780
Western Europe,1995,65,4933,12237
Australasia & Oceania,1996,23,127,190
Central America & Caribbean,1996,81,26323,10129
East Asia,1996,32,197,551
Eastern Europe,1996,166,848,640
Middle East & North Africa,1996,919,12751,8285
North America,1996,97,1079,2578
South America,1996,694,21284,15454
South Asia,1996,1797,20025,6911
Southeast Asia,1996,266,6195,2625
Sub-Saharan Africa,1996,2546,14350,3997
Western Europe,1996,42,4975,12713
Australasia & Oceania,1997,1,127,197
Central America & Caribbean,1997,73,26396,10246
East Asia,1997,38,235,591
Eastern Europe,1997,115,963,888
Middle East & North Africa,1997,4599,17350,8833
North America,1997,231,1310,2715
South America,1997,1317,22601,16228
South Asia,1997,1732,21757,7401
Southeast Asia,1997,335,6530,2784
Sub-Saharan Africa,1997,2186,16536,4276
Western Europe,1997,40,5015,13062
Australasia & Oceania,1998,1,127,203
Central America & Caribbean,1998,1,26396,10247
East Asia,1998,50,285,600
Eastern Europe,1998,109,1072,993
Middle East & North Africa,1998,1034,18384,9080
North America,1998,7,1317,2752
South America,1998,597,23198,16336
South Asia,1998,1200,22957,7537
Southeast Asia,1998,54,6584,2816
Sub-Saharan Africa,1998,1405,17941,4363
Western Europe,1998,54,5069,13203
Australasia & Oceania,1999,2,129,207
Central America & Caribbean,1999,3,26399,10255
East Asia,1999,5,290,604
Eastern Europe,1999,437,1509,1131
Middle East & North Africa,1999,649,19033,9396
North America,1999,20,1337,2808
South America,1999,293,23491,16470
South Asia,1999,876,23833,7762
Southeast Asia,1999,123,6707,2923
Sub-Saharan Africa,1999,885,18826,4506
Western Europe,1999,12,5081,13439
Australasia & Oceania,2000,1,129,213
Central America & Caribbean,2000,4,26403,10269
East Asia,2000,1,291,623
Eastern Europe,2000,380,1889,1365
Middle East & North Africa,2000,492,19525,9668
North America,2000,1,1337,2849
South America,2000,355,23846,16620
South Asia,2000,1211,25044,8119
Southeast Asia,2000,390,7097,3179
Sub-Saharan Africa,2000,874,19700,4697
Western Europe,2000,39,5120,13692
Australasia & Oceania,2001,1,129,217
Central America & Caribbean,2001,1,26404,10277
East Asia,2001,9,300,642
Eastern Europe,2001,286,2175,1617
Middle East & North Africa,2001,744,20269,10030
North America,2001,3021,4358,2897
South America,2001,469,24315,16849
South Asia,2001,1135,26179,8504
Southeast Asia,2001,268,7365,3364
Sub-Saharan Africa,2001,1079,20779,4859
Western Europe,2001,38,5158,13926
Australasia & Oceania,2002,1,130,219
Central America & Caribbean,2002,1,26404,10280
East Asia,2002,1,300,646
Eastern Europe,2002,473,2648,1729
Middle East & North Africa,2002,972,21241,10356
North America,2002,4,4362,2930
South America,2002,286,24601,17011
South Asia,2002,1094,27273,8838
Southeast Asia,2002,372,7737,3474
Sub-Saharan Africa,2002,370,21149,4980
Western Europe,2002,7,5165,14046
Australasia & Oceania,2003,1,131,223
Central America & Caribbean,2003,5,26409,10288
East Asia,2003,1,301,652
Eastern Europe,2003,335,2983,1829
Middle East & North Africa,2003,972,22213,10666
North America,2003,2,4364,2964
South America,2003,188,24789,17128
South Asia,2003,751,28024,9191
Southeast Asia,2003,327,8064,3619
Sub-Saharan Africa,2003,494,21643,5053
Western Europe,2003,5,5170,14167
Central America & Caribbean,2004,38,26447,10293
East Asia,2004,4,305,656
Eastern Europe,2004,608,3591,1875
Middle East & North Africa,2004,2423,24636,11158
North America,2004,1,4364,2976
South America,2004,89,24878,17170
South Asia,2004,1574,29598,9560
Southeast Asia,2004,281,8345,3714
Sub-Saharan Africa,2004,317,21960,5087
Western Europe,2004,196,5366,14226
Central America & Caribbean,2005,1,26448,10296
East Asia,2005,12,317,658
Eastern Europe,2005,157,3748,1951
Middle East & North Africa,2005,3813,28449,12040
North America,2005,2,4366,2998
South America,2005,149,25027,17219
South Asia,2005,1337,30935,10164
Southeast Asia,2005,265,8610,3918
Sub-Saharan Africa,2005,370,22330,5147
Western Europe,2005,60,5426,14330
Australasia & Oceania,2006,1,131,225
Central America & Caribbean,2006,7,26455,10301
East Asia,2006,1,317,659
Eastern Europe,2006,59,3807,2021
Middle East & North Africa,2006,4454,32903,13227
North America,2006,8,4374,3013
South America,2006,93,25120,17269
South Asia,2006,2845,33780,11102
Southeast Asia,2006,257,8867,4190
Sub-Saharan Africa,2006,965,23295,5261
Western Europe,2006,6,5432,14428
Australasia & Oceania,2007,1,131,226
Central America & Caribbean,2007,2,26457,10305
Eastern Europe,2007,57,3864,2083
Middle East & North Africa,2007,6979,39882,14612
North America,2007,25,4399,3031
South America,2007,83,25203,17316
South Asia,2007,3638,37418,12084
Southeast Asia,2007,375,9242,4555
Sub-Saharan Africa,2007,1381,24676,5563
Western Europe,2007,16,5448,14500
Australasia & Oceania,2008,1,131,234
East Asia,2008,39,356,684
Eastern Europe,2008,101,3965,2292
Middle East & North Africa,2008,3311,43193,16148
North America,2008,23,4422,3062
South America,2008,109,25312,17460
South Asia,2008,3316,40734,13843
Southeast Asia,2008,395,9637,5069
Sub-Saharan Africa,2008,1308,25984,5943
Western Europe,2008,3,5451,14663
Australasia & Oceania,2009,1,131,235
Central America & Caribbean,2009,3,26460,10314
East Asia,2009,186,542,692
Eastern Europe,2009,140,4105,2457
Middle East & North Africa,2009,2616,45809,17509
North America,2009,17,4439,3078
South America,2009,126,25438,17619
South Asia,2009,3424,44158,15788
Southeast Asia,2009,476,10113,5630
Sub-Saharan Africa,2009,1691,27675,6226
Western Europe,2009,15,5466,14845
Australasia & Oceania,2010,1,131,236
Central America & Caribbean,2010,1,26460,10315
East Asia,2010,7,549,693
Eastern Europe,2010,225,4330,2718
