Region,Year,NumDeaths
Australasia & Oceania,1970,0
Central America & Caribbean,1970,3
East Asia,1970,0
Eastern Europe,1970,0
Middle East & North Africa,1970,1
North America,1970,27
South America,1970,11
South Asia,1970,4
Southeast Asia,1970,41
Sub-Saharan Africa,1970,1
Western Europe,1970,75
Australasia & Oceania,1971,0
Central America & Caribbean,1971,0
East Asia,1971,25
Eastern Europe,1971,0
Middle East & North Africa,1971,6
North America,1971,20
South America,1971,6
Southeast Asia,1971,2
Sub-Saharan Africa,1971,1
Western Europe,1971,106
Australasia & Oceania,1972,1
Central America & Caribbean,1972,0
Eastern Europe,1972,26
Middle East & North Africa,1972,7
North America,1972,9
South America,1972,6
South Asia,1972,0
Southeast Asia,1972,84
Sub-Saharan Africa,1972,0
Western Europe,1972,385
Australasia & Oceania,1973,0
Central America & Caribbean,1973,0
East Asia,1973,0
Eastern Europe,1973,1
Middle East & North Africa,1973,5
North America,1973,29
South America,1973,16
South Asia,1973,0
Southeast Asia,1973,0
Sub-Saharan Africa,1973,5
Western Europe,1973,224
Australasia & Oceania,1974,0
Central America & Caribbean,1974,0
East Asia,1974,1
Eastern Europe,1974,1
Middle East & North Africa,1974,35
North America,1974,14
South America,1974,21
South Asia,1974,0
Southeast Asia,1974,5
Sub-Saharan Africa,1974,2
Western Europe,1974,406
Central America & Caribbean,1975,17
East Asia,1975,0
Middle East & North Africa,1975,42
North America,1975,46
South America,1975,130
South Asia,1975,6
Southeast Asia,1975,1
Sub-Saharan Africa,1975,28
Western Europe,1975,254
Central America & Caribbean,1976,84
East Asia,1976,2
Middle East & North Africa,1976,29
North America,1976,29
South America,1976,95
South Asia,1976,0
Southeast Asia,1976,34
Sub-Saharan Africa,1976,5
Western Europe,1976,289
Central America & Caribbean,1977,34
East Asia,1977,0
Eastern Europe,1977,1
Middle East & North Africa,1977,37
North America,1977,15
South America,1977,45
South Asia,1977,0
Southeast Asia,1977,1
Sub-Saharan Africa,1977,17
Western Europe,1977,177
Australasia & Oceania,1978,2
Central America & Caribbean,1978,140
